GOLD_ID	BROAD_SCALE_LABEL	LOCAL_SCALE_LABEL	MEDIUM_LABEL	ENV_BROAD_SCALE	ENV_LOCAL_SCALE	ENV_MEDIUM	TYPE	MATCHED TERM	PREFERRED FORM	CURIE_SYNONYM_REMOVED	CURIE
Gb0173867	freshwater river biome	river	river water	ENVO_01000253	ENVO_00000022	ENVO_01000599	biolink:OntologyClass	river water	river water	ENVO_01000599	ENVO:01000599
Gb0173872	freshwater river biome	river	river water	ENVO_01000253	ENVO_00000022	ENVO_01000599	biolink:OntologyClass	river water	river water	ENVO_01000599	ENVO:01000599
Gb0173903	freshwater lake biome	freshwater lake	lake sediment	ENVO_01000252	ENVO_00000021	ENVO_00000546	biolink:OntologyClass	Lake sediment	lake sediment	ENVO_00000546	ENVO:00000546
Gb0173935	freshwater lake biome	freshwater lake	lake sediment	ENVO_01000252	ENVO_00000021	ENVO_00000546	biolink:OntologyClass	Lake sediment	lake sediment	ENVO_00000546	ENVO:00000546
Gb0175626	terrestrial biome	peninsula	permafrost	ENVO_00000446	ENVO_00000305	ENVO_00000134	biolink:OntologyClass	permafrost	permafrost	ENVO_00000134	ENVO:00000134_SYNONYM
Gb0175626	terrestrial biome	peninsula	permafrost	ENVO_00000446	ENVO_00000305	ENVO_00000134	biolink:OntologyClass	permafrost	permafrost	ENVO_00000134	ENVO:00000134
Gb0156181	desert biome	desert	soil	ENVO_01000179	ENVO_01001357	ENVO_00001998	biolink:OntologyClass	Soil	soil	ENVO_00001998	ENVO:00001998
Gb0156181	desert biome	desert	soil	ENVO_01000179	ENVO_01001357	ENVO_00001998	biolink:OntologyClass	soil	soil	ENVO_00001998	ENVO:00001998
Gb0156182	desert biome	desert	soil	ENVO_01000179	ENVO_01001357	ENVO_00001998	biolink:OntologyClass	Soil	soil	ENVO_00001998	ENVO:00001998
Gb0156182	desert biome	desert	soil	ENVO_01000179	ENVO_01001357	ENVO_00001998	biolink:OntologyClass	soil	soil	ENVO_00001998	ENVO:00001998
Gb0156185	desert biome	desert	soil	ENVO_01000179	ENVO_01001357	ENVO_00001998	biolink:OntologyClass	Soil	soil	ENVO_00001998	ENVO:00001998
Gb0156185	desert biome	desert	soil	ENVO_01000179	ENVO_01001357	ENVO_00001998	biolink:OntologyClass	soil	soil	ENVO_00001998	ENVO:00001998
Gb0156303	terrestrial biome	planetary subsurface zone	sediment	ENVO_00000446	ENVO_01000941	ENVO_00002007	biolink:OntologyClass	sediment	sediment	ENVO_00002007	ENVO:00002007
Gb0156304	terrestrial biome	planetary subsurface zone	sediment	ENVO_00000446	ENVO_01000941	ENVO_00002007	biolink:OntologyClass	sediment	sediment	ENVO_00002007	ENVO:00002007
Gb0157168	freshwater biome	aquifer	sediment	ENVO_00000873	ENVO_00012408	ENVO_00002007	biolink:OntologyClass	sediment	sediment	ENVO_00002007	ENVO:00002007
Gb0157236	forest biome	polar	forest soil	ENVO_01000174	ENVO_01000238	ENVO_00002261	biolink:OntologyClass	Forest soil	forest soil	ENVO_00002261	ENVO:00002261
Gb0139126	terrestrial biome	ridge	surface soil	ENVO_00000446	ENVO_00000283	ENVO_02000059	biolink:OntologyClass	surface soil	surface soil	ENVO_02000059	ENVO:02000059
Gb0175835	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	biolink:OntologyClass	Seawater	sea water	ENVO_00002149	ENVO:00002149_SYNONYM
Gb0175836	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	biolink:OntologyClass	Seawater	sea water	ENVO_00002149	ENVO:00002149_SYNONYM
Gb0179881	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	biolink:OntologyClass	Seawater	sea water	ENVO_00002149	ENVO:00002149_SYNONYM
Gb0179881	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	biolink:OntologyClass	ocean water	sea water	ENVO_00002149	ENVO:00002149_SYNONYM
Gb0179905	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	biolink:OntologyClass	Seawater	sea water	ENVO_00002149	ENVO:00002149_SYNONYM
Gb0179905	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	biolink:OntologyClass	seawater	sea water	ENVO_00002149	ENVO:00002149_SYNONYM
Gb0179620	terrestrial biome	dairy	soil	ENVO_00000446	ENVO_00003862	ENVO_00001998	biolink:OntologyClass	Soil	soil	ENVO_00001998	ENVO:00001998
Gb0179626	terrestrial biome	dairy	soil	ENVO_00000446	ENVO_00003862	ENVO_00001998	biolink:OntologyClass	Soil	soil	ENVO_00001998	ENVO:00001998
Gb0175832	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	biolink:OntologyClass	Seawater	sea water	ENVO_00002149	ENVO:00002149_SYNONYM
Gb0175834	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	biolink:OntologyClass	Seawater	sea water	ENVO_00002149	ENVO:00002149_SYNONYM
Gb0180080	terrestrial biome	peatland	peat soil	ENVO_00000446	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	Peat	peat soil	ENVO_00005774	ENVO:00005774_SYNONYM
Gb0180201	freshwater biome	planetary subsurface zone	groundwater	ENVO_00000873	ENVO_01000941	ENVO_01001004	biolink:OntologyClass	Groundwater	groundwater	ENVO_01001004	ENVO:01001004
Gb0180201	freshwater biome	planetary subsurface zone	groundwater	ENVO_00000873	ENVO_01000941	ENVO_01001004	biolink:OntologyClass	groundwater	groundwater	ENVO_01001004	ENVO:01001004
Gb0180203	freshwater biome	planetary subsurface zone	groundwater	ENVO_00000873	ENVO_01000941	ENVO_01001004	biolink:OntologyClass	Groundwater	groundwater	ENVO_01001004	ENVO:01001004
Gb0180203	freshwater biome	planetary subsurface zone	groundwater	ENVO_00000873	ENVO_01000941	ENVO_01001004	biolink:OntologyClass	groundwater	groundwater	ENVO_01001004	ENVO:01001004
Gb0180205	freshwater biome	planetary subsurface zone	groundwater	ENVO_00000873	ENVO_01000941	ENVO_01001004	biolink:OntologyClass	Groundwater	groundwater	ENVO_01001004	ENVO:01001004
Gb0180205	freshwater biome	planetary subsurface zone	groundwater	ENVO_00000873	ENVO_01000941	ENVO_01001004	biolink:OntologyClass	groundwater	groundwater	ENVO_01001004	ENVO:01001004
Gb0175833	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	biolink:OntologyClass	Seawater	sea water	ENVO_00002149	ENVO:00002149_SYNONYM
Gb0175837	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	biolink:OntologyClass	Seawater	sea water	ENVO_00002149	ENVO:00002149_SYNONYM
Gb0175838	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	biolink:OntologyClass	Seawater	sea water	ENVO_00002149	ENVO:00002149_SYNONYM
Gb0180083	terrestrial biome	peatland	peat soil	ENVO_00000446	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	Peat	peat soil	ENVO_00005774	ENVO:00005774_SYNONYM
Gb0180085	terrestrial biome	peatland	peat soil	ENVO_00000446	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	Peat	peat soil	ENVO_00005774	ENVO:00005774_SYNONYM
Gb0180206	freshwater biome	planetary subsurface zone	groundwater	ENVO_00000873	ENVO_01000941	ENVO_01001004	biolink:OntologyClass	Groundwater	groundwater	ENVO_01001004	ENVO:01001004
Gb0180206	freshwater biome	planetary subsurface zone	groundwater	ENVO_00000873	ENVO_01000941	ENVO_01001004	biolink:OntologyClass	groundwater	groundwater	ENVO_01001004	ENVO:01001004
Gb0180204	freshwater biome	planetary subsurface zone	groundwater	ENVO_00000873	ENVO_01000941	ENVO_01001004	biolink:OntologyClass	Groundwater	groundwater	ENVO_01001004	ENVO:01001004
Gb0180204	freshwater biome	planetary subsurface zone	groundwater	ENVO_00000873	ENVO_01000941	ENVO_01001004	biolink:OntologyClass	groundwater	groundwater	ENVO_01001004	ENVO:01001004
Gb0181738	marine biome	harbor	sea water	ENVO_00000447	ENVO_00000463	ENVO_00002149	biolink:OntologyClass	Seawater	sea water	ENVO_00002149	ENVO:00002149_SYNONYM
Gb0181784	marine hydrothermal vent biome	marine hydrothermal vent	sediment	ENVO_01000030	ENVO_01000122	ENVO_00002007	biolink:OntologyClass	Sediment	sediment	ENVO_00002007	ENVO:00002007
Gb0181784	marine hydrothermal vent biome	marine hydrothermal vent	sediment	ENVO_01000030	ENVO_01000122	ENVO_00002007	biolink:OntologyClass	sediment	sediment	ENVO_00002007	ENVO:00002007
Gb0181786	marine biome	marine water body	surface water	ENVO_00000447	ENVO_00001999	ENVO_00002042	biolink:OntologyClass	surface water	surface water	ENVO_00002042	ENVO:00002042
Gb0181787	marine biome	marine water body	surface water	ENVO_00000447	ENVO_00001999	ENVO_00002042	biolink:OntologyClass	surface water	surface water	ENVO_00002042	ENVO:00002042
Gb0180082	terrestrial biome	peatland	peat soil	ENVO_00000446	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	Peat	peat soil	ENVO_00005774	ENVO:00005774_SYNONYM
Gb0180086	terrestrial biome	peatland	peat soil	ENVO_00000446	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	Peat	peat soil	ENVO_00005774	ENVO:00005774_SYNONYM
Gb0180200	freshwater biome	planetary subsurface zone	groundwater	ENVO_00000873	ENVO_01000941	ENVO_01001004	biolink:OntologyClass	Groundwater	groundwater	ENVO_01001004	ENVO:01001004
Gb0180200	freshwater biome	planetary subsurface zone	groundwater	ENVO_00000873	ENVO_01000941	ENVO_01001004	biolink:OntologyClass	groundwater	groundwater	ENVO_01001004	ENVO:01001004
Gb0180202	freshwater biome	planetary subsurface zone	groundwater	ENVO_00000873	ENVO_01000941	ENVO_01001004	biolink:OntologyClass	Groundwater	groundwater	ENVO_01001004	ENVO:01001004
Gb0180202	freshwater biome	planetary subsurface zone	groundwater	ENVO_00000873	ENVO_01000941	ENVO_01001004	biolink:OntologyClass	groundwater	groundwater	ENVO_01001004	ENVO:01001004
Gb0153029	aquatic biome	hot spring	sediment	ENVO_00002030	ENVO_00000051	ENVO_00002007	biolink:OntologyClass	sediment	sediment	ENVO_00002007	ENVO:00002007
Gb0192381	terrestrial biome	microcosm	soil	ENVO_00000446	ENVO_01000621	ENVO_00001998	biolink:OntologyClass	Soil	soil	ENVO_00001998	ENVO:00001998
Gb0192381	terrestrial biome	microcosm	soil	ENVO_00000446	ENVO_01000621	ENVO_00001998	biolink:OntologyClass	soil	soil	ENVO_00001998	ENVO:00001998
Gb0192382	terrestrial biome	microcosm	soil	ENVO_00000446	ENVO_01000621	ENVO_00001998	biolink:OntologyClass	Soil	soil	ENVO_00001998	ENVO:00001998
Gb0192382	terrestrial biome	microcosm	soil	ENVO_00000446	ENVO_01000621	ENVO_00001998	biolink:OntologyClass	soil	soil	ENVO_00001998	ENVO:00001998
Gb0192385	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	biolink:OntologyClass	Seawater	sea water	ENVO_00002149	ENVO:00002149_SYNONYM
Gb0192385	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	biolink:OntologyClass	seawater	sea water	ENVO_00002149	ENVO:00002149_SYNONYM
Gb0192387	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	biolink:OntologyClass	Seawater	sea water	ENVO_00002149	ENVO:00002149_SYNONYM
Gb0192387	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	biolink:OntologyClass	seawater	sea water	ENVO_00002149	ENVO:00002149_SYNONYM
Gb0156035	aquatic biome	hot spring	sediment	ENVO_00002030	ENVO_00000051	ENVO_00002007	biolink:OntologyClass	sediment	sediment	ENVO_00002007	ENVO:00002007
Gb0156039	aquatic biome	acid mine drainage	sediment	ENVO_00002030	ENVO_00001997	ENVO_00002007	biolink:OntologyClass	Sediment	sediment	ENVO_00002007	ENVO:00002007
Gb0156039	aquatic biome	acid mine drainage	sediment	ENVO_00002030	ENVO_00001997	ENVO_00002007	biolink:OntologyClass	sediment	sediment	ENVO_00002007	ENVO:00002007
Gb0153654	terrestrial biome	lava tunnel	lava	ENVO_00000446	ENVO_00000110	ENVO_01000231	biolink:OntologyClass	lava	lava	ENVO_01000231	ENVO:01000231
Gb0155476	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	Soil	soil	ENVO_00001998	ENVO:00001998
Gb0155476	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	soil	soil	ENVO_00001998	ENVO:00001998
Gb0155479	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	Soil	soil	ENVO_00001998	ENVO:00001998
Gb0155479	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	soil	soil	ENVO_00001998	ENVO:00001998
Gb0155483	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	Soil	soil	ENVO_00001998	ENVO:00001998
Gb0155483	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	soil	soil	ENVO_00001998	ENVO:00001998
Gb0155484	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	Soil	soil	ENVO_00001998	ENVO:00001998
Gb0155484	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	soil	soil	ENVO_00001998	ENVO:00001998
Gb0155485	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	Soil	soil	ENVO_00001998	ENVO:00001998
Gb0155485	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	soil	soil	ENVO_00001998	ENVO:00001998
Gb0155489	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	Soil	soil	ENVO_00001998	ENVO:00001998
Gb0155489	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	soil	soil	ENVO_00001998	ENVO:00001998
Gb0155496	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	Soil	soil	ENVO_00001998	ENVO:00001998
Gb0155496	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	soil	soil	ENVO_00001998	ENVO:00001998
Gb0155512	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	Soil	soil	ENVO_00001998	ENVO:00001998
Gb0155512	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	soil	soil	ENVO_00001998	ENVO:00001998
Gb0155515	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	Soil	soil	ENVO_00001998	ENVO:00001998
Gb0155515	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	soil	soil	ENVO_00001998	ENVO:00001998
Gb0155527	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	Soil	soil	ENVO_00001998	ENVO:00001998
Gb0155527	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	biolink:OntologyClass	soil	soil	ENVO_00001998	ENVO:00001998
Gb0052015	aquatic biome	lake	brackish water	ENVO_00002030	ENVO_00000020	ENVO_00002019	biolink:OntologyClass	Brackish water	brackish water	ENVO_00002019	ENVO:00002019
