	NMDC_analysis_id	relation	NERSC_activity_json	API_alternate_ids
0	nmdc:mga00098	was_informed_by	Gp0138748	['img.taxon:3300025496', 'biosample:SAMN06266110']
1	nmdc:mga0014j80	was_informed_by	SAMEA7724291_ERR5003334	['gold:Gb0240018']
2	nmdc:mga0026t90	was_informed_by	SAMEA7724302_ERR5004081	['gold:Gb0239923']
3	nmdc:mga002nf41	was_informed_by	SAMEA7724295	null
4	nmdc:mga002tn28	was_informed_by	Gp0566644	['img.taxon:3300046718']
5	nmdc:mga002tt13	was_informed_by	Gp0566808	['img.taxon:3300046519']
6	nmdc:mga0089d33	was_informed_by	Gp0566796	['img.taxon:3300046515']
7	nmdc:mga00971	was_informed_by	Gp0138742	['img.taxon:3300025812', 'biosample:SAMN06266157']
8	nmdc:mga009wr51	was_informed_by	Gp0566764	['img.taxon:3300046674']
9	nmdc:mga00ack82	was_informed_by	Gp0225780	null
10	nmdc:mga00bn471	was_informed_by	Gp0225767	null
11	nmdc:mga00c4z05	was_informed_by	SAMEA7724315_ERR5004943	['gold:Gb0240029']
12	nmdc:mga00eae29	was_informed_by	Gp0208574	null
13	nmdc:mga00efj22	was_informed_by	Gp0306222	null
14	nmdc:mga00f53	was_informed_by	SRR10739566	null
15	nmdc:mga00fdx19	was_informed_by	Gp0566639	['img.taxon:3300046817']
16	nmdc:mga00fj208	was_informed_by	Gp0344874	['img.taxon:3300031797', 'biosample:SAMN11532859']
17	nmdc:mga00gdd02	was_informed_by	Gp0344896	['img.taxon:3300031681', 'biosample:SAMN10864293']
18	nmdc:mga00gjp77	was_informed_by	Gp0225785	null
19	nmdc:mga00gys80	was_informed_by	Gp0344869	['img.taxon:3300032042', 'biosample:SAMN11532318']
20	nmdc:mga00gzr84	was_informed_by	Gp0208573	null
21	nmdc:mga00h47	was_informed_by	Gp0213343	['img.taxon:3300018047', 'biosample:SAMN08777608']
22	nmdc:mga00hh562	was_informed_by	Gp0127656	['img.taxon:3300042801', 'biosample:SAMN06267141', 'gold:Gb0126457']
23	nmdc:mga00j44	was_informed_by	Gp0213341	['img.taxon:3300018026', 'biosample:SAMN08779181']
24	nmdc:mga00mdk15	was_informed_by	SAMEA7724310_ERR5004151	['gold:Gb0240024']
25	nmdc:mga00p32	was_informed_by	SRR12480170	null
26	nmdc:mga00q2s82	was_informed_by	Gp0344901	['img.taxon:3300032091', 'biosample:SAMN11532912']
27	nmdc:mga00qqf36	was_informed_by	Gp0095970	null
28	nmdc:mga00s2q55	was_informed_by	SAMEA7724317_ERR5004945	['gold:Gb0240031']
29	nmdc:mga00tbm08	was_informed_by	Gp0566673	['img.taxon:3300046790']
30	nmdc:mga00v17	was_informed_by	Gp0116323	['img.taxon:3300006051', 'biosample:SAMN06266330']
31	nmdc:mga00w14	was_informed_by	SRR8849261	null
32	nmdc:mga00whr66	was_informed_by	SAMEA7724338_ERR5003426	['gold:Gb0240042']
33	nmdc:mga00wsw62	was_informed_by	Gp0566646	['img.taxon:3300046714']
34	nmdc:mga00x5449	was_informed_by	Gp0331406	null
35	nmdc:mga00xge30	was_informed_by	Gp0306246	null
36	nmdc:mga00xqw92	was_informed_by	SAMEA7724221_ERR5004695	['gold:Gb0240085']
37	nmdc:mga00y08	was_informed_by	Gp0138741	null
38	nmdc:mga00yx311	was_informed_by	Gp0321272	['img.taxon:3300042821', 'biosample:SAMN10864148', 'gold:Gb0191652']
39	nmdc:mga00z05	was_informed_by	SRR12480355	null
40	nmdc:mga00z8128	was_informed_by	SAMEA7724307_ERR5004148	['gold:Gb0240021']
41	nmdc:mga00zf426	was_informed_by	Gp0566839	['img.taxon:3300046525']
